motor,tamano,nivel,archivo,esperado,leido,confianza,corregido,formato,ok,tiempo_seg
tesseract,chica,sin_degradar,chica_v1_AF520GN.jpg,AF520GN,AF520GN,0.0,AF520GN,mercosur,True,0.448
tesseract,chica,sin_degradar,chica_v1_HM316QL.jpg,HM316QL,HM316GL,0.0,HM316GL,mercosur,False,0.379
tesseract,chica,sin_degradar,chica_v1_TCU894.jpg,TCU894,TCU894,0.0,TCU894,viejo,True,0.344
tesseract,chica,sin_degradar,chica_v1_ZWD167.jpg,ZWD167,ZWD167,0.0,ZWD167,viejo,True,0.396
tesseract,chica,sin_degradar,chica_v2_AF520GN.jpg,AF520GN,AF520GN,0.0,AF520GN,mercosur,True,0.338
tesseract,chica,sin_degradar,chica_v2_HM316QL.jpg,HM316QL,HM326OL,0.0,HM326OL,mercosur,False,0.354
tesseract,chica,sin_degradar,chica_v2_TCU894.jpg,TCU894,TCU894,0.0,TCU894,viejo,True,0.358
tesseract,chica,sin_degradar,chica_v2_ZWD167.jpg,ZWD167,ZWD167,0.0,ZWD167,viejo,True,0.363
tesseract,grande,sin_degradar,grande_v1_DL908XR.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.539
tesseract,grande,sin_degradar,grande_v1_KGF480.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.494
tesseract,grande,sin_degradar,grande_v1_QW372ZP.jpg,QW372ZP,QW372ZP,0.0,QW372ZP,mercosur,True,0.508
tesseract,grande,sin_degradar,grande_v1_VNH615.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.528
tesseract,grande,sin_degradar,grande_v2_DL908XR.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.331
tesseract,grande,sin_degradar,grande_v2_KGF480.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.361
tesseract,grande,sin_degradar,grande_v2_QW372ZP.jpg,QW372ZP,QH372ZP,0.0,QH372ZP,mercosur,False,0.357
tesseract,grande,sin_degradar,grande_v2_VNH615.jpg,VNH615,VNH615,0.0,VNH615,viejo,True,0.345
tesseract,grande,sin_degradar,grande_v3_DL908XR.jpg,DL908XR,DL908XR,0.0,DL908XR,mercosur,True,0.616
tesseract,grande,sin_degradar,grande_v3_KGF480.jpg,KGF480,KGF480,0.0,KGF480,viejo,True,0.66
