tamano,nivel,archivo,esperado,leido_crudo,ok_crudo,leido_prep,ok_prep,leido_final,formato_final,ok_final
chica,sin_degradar,chica_v1_AF520GN.jpg,AF520GN,AF520GN,True,AF520GN,True,AF520GN,mercosur,True
chica,sin_degradar,chica_v1_HM316QL.jpg,HM316QL,HM316QL,True,HM316GL,False,HM316GL,mercosur,False
chica,sin_degradar,chica_v1_TCU894.jpg,TCU894,TCU894,True,TCU894,True,TCU894,viejo,True
chica,sin_degradar,chica_v1_ZWD167.jpg,ZWD167,ZWD167,True,ZWD167,True,ZWD167,viejo,True
chica,sin_degradar,chica_v2_AF520GN.jpg,AF520GN,AF520GN,True,AF520GN,True,AF520GN,mercosur,True
chica,sin_degradar,chica_v2_HM316QL.jpg,HM316QL,HM346OL,False,HM326OL,False,HM326OL,mercosur,False
chica,sin_degradar,chica_v2_TCU894.jpg,TCU894,TCU894,True,TCU894,True,TCU894,viejo,True
chica,sin_degradar,chica_v2_ZWD167.jpg,ZWD167,ZWD167,True,ZWD167,True,ZWD167,viejo,True
grande,sin_degradar,grande_v1_DL908XR.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,sin_degradar,grande_v1_KGF480.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,sin_degradar,grande_v1_QW372ZP.jpg,QW372ZP,QN372ZP,False,QW372ZP,True,QW372ZP,mercosur,True
grande,sin_degradar,grande_v1_VNH615.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
grande,sin_degradar,grande_v2_DL908XR.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,sin_degradar,grande_v2_KGF480.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,sin_degradar,grande_v2_QW372ZP.jpg,QW372ZP,QH372ZP,False,QH372ZP,False,QH372ZP,mercosur,False
grande,sin_degradar,grande_v2_VNH615.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
grande,sin_degradar,grande_v3_DL908XR.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,sin_degradar,grande_v3_KGF480.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,sin_degradar,grande_v3_QW372ZP.jpg,QW372ZP,QW372ZP,True,QW372ZP,True,QW372ZP,mercosur,True
grande,sin_degradar,grande_v3_VNH615.jpg,VNH615,VNH645,False,VNH615,True,VNH615,viejo,True
media,sin_degradar,media_v1_BJ741CY.jpg,BJ741CY,B741CY,False,B741CY,False,B741CY,,False
media,sin_degradar,media_v1_MPT236.jpg,MPT236,MPT236,True,MPT236,True,MPT236,viejo,True
media,sin_degradar,media_v1_RE483UK.jpg,RE483UK,RE483UK,True,RE483UK,True,RE483UK,mercosur,True
media,sin_degradar,media_v1_XSO059.jpg,XSO059,XSO059,True,XSO059,True,XSO059,viejo,True
media,sin_degradar,media_v2_BJ741CY.jpg,BJ741CY,BJ744CY,False,BJ744CY,False,BJ744CY,mercosur,False
media,sin_degradar,media_v2_MPT236.jpg,MPT236,MPT236,True,MPT236,True,MPT236,viejo,True
media,sin_degradar,media_v2_RE483UK.jpg,RE483UK,RE483UK,True,RE483UK,True,RE483UK,mercosur,True
media,sin_degradar,media_v2_XSO059.jpg,XSO059,XSO059,True,XSO059,True,XSO059,viejo,True
mini,sin_degradar,mini_v1_JOK251.jpg,JOK251,JOK251,True,JOK251,True,JOK251,viejo,True
mini,sin_degradar,mini_v1_PV649EW.jpg,PV649EW,PV649EW,True,PV649EW,True,PV649EW,mercosur,True
mini,sin_degradar,mini_v1_SX087DZ.jpg,SX087DZ,SX087DZ,True,SX087DZ,True,SX087DZ,mercosur,True
mini,sin_degradar,mini_v1_YIB703.jpg,YIB703,YIB703,True,YIB703,True,YIB703,viejo,True
mini,sin_degradar,mini_v2_JOK251.jpg,JOK251,30K253,False,30K253,False,3OK253,,False
mini,sin_degradar,mini_v2_PV649EW.jpg,PV649EW,P649EW,False,P649EW,False,P649EW,,False
mini,sin_degradar,mini_v2_SX087DZ.jpg,SX087DZ,SX087DZ,True,SX087DZ,True,SX087DZ,mercosur,True
mini,sin_degradar,mini_v2_YIB703.jpg,YIB703,YIB703,True,YIB703,True,YIB703,viejo,True
chica,fuerte,chica_v1_AF520GN_deg_fuerte.jpg,AF520GN,AF520ON,False,AF520GN,True,AF520GN,mercosur,True
chica,leve,chica_v1_AF520GN_deg_leve.jpg,AF520GN,AF520GN,True,AF520GN,True,AF520GN,mercosur,True
chica,medio,chica_v1_AF520GN_deg_medio.jpg,AF520GN,AF520GN,True,AF520GN,True,AF520GN,mercosur,True
chica,fuerte,chica_v1_HM316QL_deg_fuerte.jpg,HM316QL,4216OL,False,216OL,False,216OL,,False
chica,leve,chica_v1_HM316QL_deg_leve.jpg,HM316QL,HM316L,False,HM316QL,True,HM316QL,mercosur,True
chica,medio,chica_v1_HM316QL_deg_medio.jpg,HM316QL,HM316OL,False,HM316OL,False,HM316OL,mercosur,False
chica,fuerte,chica_v1_TCU894_deg_fuerte.jpg,TCU894,TCU894,True,TCU894,True,TCU894,viejo,True
chica,leve,chica_v1_TCU894_deg_leve.jpg,TCU894,TCU894,True,TCU894,True,TCU894,viejo,True
chica,medio,chica_v1_TCU894_deg_medio.jpg,TCU894,TCU894,True,TCU894,True,TCU894,viejo,True
chica,fuerte,chica_v1_ZWD167_deg_fuerte.jpg,ZWD167,ZMD167,False,ZMD167,False,ZMD167,viejo,False
chica,leve,chica_v1_ZWD167_deg_leve.jpg,ZWD167,ZWD167,True,ZWD167,True,ZWD167,viejo,True
chica,medio,chica_v1_ZWD167_deg_medio.jpg,ZWD167,ZWD167,True,ZWD167,True,ZWD167,viejo,True
chica,fuerte,chica_v2_AF520GN_deg_fuerte.jpg,AF520GN,WT,False,,False,,,False
chica,leve,chica_v2_AF520GN_deg_leve.jpg,AF520GN,AF520GN,True,AF520GN,True,AF520GN,mercosur,True
chica,medio,chica_v2_AF520GN_deg_medio.jpg,AF520GN,AF20GN,False,AFS20GN,False,AF520GN,mercosur,True
chica,fuerte,chica_v2_HM316QL_deg_fuerte.jpg,HM316QL,,False,R,False,R,,False
chica,leve,chica_v2_HM316QL_deg_leve.jpg,HM316QL,VHM316OL,False,VHM316OL,False,VHM316OL,,False
chica,medio,chica_v2_HM316QL_deg_medio.jpg,HM316QL,316G,False,316,False,316,,False
chica,fuerte,chica_v2_TCU894_deg_fuerte.jpg,TCU894,NG,False,NG,False,NG,,False
chica,leve,chica_v2_TCU894_deg_leve.jpg,TCU894,TCU894,True,TCU894,True,TCU894,viejo,True
chica,medio,chica_v2_TCU894_deg_medio.jpg,TCU894,TCU894,True,TCU894,True,TCU894,viejo,True
chica,fuerte,chica_v2_ZWD167_deg_fuerte.jpg,ZWD167,7,False,T,False,T,,False
chica,leve,chica_v2_ZWD167_deg_leve.jpg,ZWD167,ZMD167,False,ZMD167,False,ZMD167,viejo,False
chica,medio,chica_v2_ZWD167_deg_medio.jpg,ZWD167,ZWD167,True,ZWD167,True,ZWD167,viejo,True
grande,fuerte,grande_v1_DL908XR_deg_fuerte.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,leve,grande_v1_DL908XR_deg_leve.jpg,DL908XR,DL908XRI,False,DL908XR,True,DL908XR,mercosur,True
grande,medio,grande_v1_DL908XR_deg_medio.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,fuerte,grande_v1_KGF480_deg_fuerte.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,leve,grande_v1_KGF480_deg_leve.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,medio,grande_v1_KGF480_deg_medio.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,fuerte,grande_v1_QW372ZP_deg_fuerte.jpg,QW372ZP,QW372ZP,True,QW372ZP,True,QW372ZP,mercosur,True
grande,leve,grande_v1_QW372ZP_deg_leve.jpg,QW372ZP,QW372ZP,True,QW372ZP,True,QW372ZP,mercosur,True
grande,medio,grande_v1_QW372ZP_deg_medio.jpg,QW372ZP,QW372ZP,True,QW372ZP,True,QW372ZP,mercosur,True
grande,fuerte,grande_v1_VNH615_deg_fuerte.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
grande,leve,grande_v1_VNH615_deg_leve.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
grande,medio,grande_v1_VNH615_deg_medio.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
grande,fuerte,grande_v2_DL908XR_deg_fuerte.jpg,DL908XR,2,False,,False,,,False
grande,leve,grande_v2_DL908XR_deg_leve.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,medio,grande_v2_DL908XR_deg_medio.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,fuerte,grande_v2_KGF480_deg_fuerte.jpg,KGF480,KGEE480,False,E480,False,E480,,False
grande,leve,grande_v2_KGF480_deg_leve.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,medio,grande_v2_KGF480_deg_medio.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,fuerte,grande_v2_QW372ZP_deg_fuerte.jpg,QW372ZP,04372,False,043722,False,O43722,,False
grande,leve,grande_v2_QW372ZP_deg_leve.jpg,QW372ZP,QW372ZP,True,QW372ZP,True,QW372ZP,mercosur,True
grande,medio,grande_v2_QW372ZP_deg_medio.jpg,QW372ZP,QH372ZP,False,QH372ZP,False,QH372ZP,mercosur,False
grande,fuerte,grande_v2_VNH615_deg_fuerte.jpg,VNH615,YMH625,False,YMH625,False,YMH625,viejo,False
grande,leve,grande_v2_VNH615_deg_leve.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
grande,medio,grande_v2_VNH615_deg_medio.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
grande,fuerte,grande_v3_DL908XR_deg_fuerte.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,leve,grande_v3_DL908XR_deg_leve.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,medio,grande_v3_DL908XR_deg_medio.jpg,DL908XR,DL908XR,True,DL908XR,True,DL908XR,mercosur,True
grande,fuerte,grande_v3_KGF480_deg_fuerte.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,leve,grande_v3_KGF480_deg_leve.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,medio,grande_v3_KGF480_deg_medio.jpg,KGF480,KGF480,True,KGF480,True,KGF480,viejo,True
grande,fuerte,grande_v3_QW372ZP_deg_fuerte.jpg,QW372ZP,QW372ZP,True,QW372ZP,True,QW372ZP,mercosur,True
grande,leve,grande_v3_QW372ZP_deg_leve.jpg,QW372ZP,QW372ZP,True,QW372ZP,True,QW372ZP,mercosur,True
grande,medio,grande_v3_QW372ZP_deg_medio.jpg,QW372ZP,QW372ZP,True,QW372ZP,True,QW372ZP,mercosur,True
grande,fuerte,grande_v3_VNH615_deg_fuerte.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
grande,leve,grande_v3_VNH615_deg_leve.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
grande,medio,grande_v3_VNH615_deg_medio.jpg,VNH615,VNH615,True,VNH615,True,VNH615,viejo,True
media,fuerte,media_v1_BJ741CY_deg_fuerte.jpg,BJ741CY,BY741CY,False,B741CY,False,B741CY,,False
media,leve,media_v1_BJ741CY_deg_leve.jpg,BJ741CY,B741CY,False,BJ741CY,True,BJ741CY,mercosur,True
